column,row,label,context,label_clean,kg_id,kg_labels,kg_aliases,method,kg_descriptions,pagerank,retrieval_score,GT_kg_id,GT_kg_label,evaluation_label,monge_elkan,monge_elkan_aliases,jaro_winkler,levenshtein,des_cont_jaccard,singleton,context_property,context_similarity,context_property_similarity_q_node,context_score,pgr_rts,hc_candidate,smc_class_score,top5_smc_class_score,smc_property_score,top5_smc_property_score,gt_score
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q100787389,Chris Falker,"C. Falker|Falker, C. ",fuzzy-augmented,college basketball player (1979–1980) Georgia State,2.8423258514033433e-09,16.53396,Q2264773,RV Falkor,-1,0.4666666666666667,0.4666666666666667,0.7870370370370371,0.5833333333333333,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,2.241344314126842e-07,0,0.0,,0.0,,2.076577402476687e-05
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q100787390,Chris Falker,"C. Falker|Falker, C. ",fuzzy-augmented,college basketball player (1977–1977) Kent State,2.8423258514033433e-09,18.516977,Q2264773,RV Falkor,-1,0.4666666666666667,0.4666666666666667,0.7870370370370371,0.5833333333333333,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,2.5101621821854845e-07,0,0.0,,0.0,,2.076579403365031e-05
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q100787397,David Falknor,"Falknor, D. |D. Falknor",fuzzy-augmented,college basketball player (1999–2002) Akron,2.8423258514033433e-09,18.516977,Q2264773,RV Falkor,-1,0.769047619047619,0.4857142857142857,0.7514245014245015,0.6153846153846154,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,2.5101621821854845e-07,0,0.0,,0.0,,9.554963980917819e-06
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q1028221,Griselda (Vivaldi)|Griselda,Griselda|RV 718,fuzzy-augmented,opera by Antonio Vivaldi,6.517999488933991e-09,14.190133,Q2264773,RV Falkor,-1,0.5347222222222222,0.5138888888888888,0.4583333333333333,0.2222222222222222,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,4.411218987594382e-07,0,0.0,,0.0,,8.776910362939816e-06
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q103927047,Felkor,,fuzzy-augmented,"Shipwreck off the Scottish Coast, imported from Canmore Nov 2020",2.8423258514033433e-09,18.003048,Q2264773,RV Falkor,-1,0.675,0.0,0.7962962962962963,0.5555555555555556,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,2.4404939452951756e-07,0,0.0,,0.0,,6.937897978787078e-06
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q104666488,Monogramista R.V.|Monogrammist R.V.,"Monogrammist RV|R.V., M. |M. R.V.|RV, M. |M. RV",fuzzy-augmented,Dutch School artist (active 17th century),2.8423258514033433e-09,18.065655,Q2264773,RV Falkor,-1,0.675,0.75,0.392156862745098,0.1176470588235294,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,2.4489809528526233e-07,0,0.0,,0.0,,8.009725206648e-06
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q11510312,RV Sonne|Sonne,IMO 69097777|Sonne research ship|Sonne trawler,fuzzy-augmented,German-built research vessel,1.970246172441796e-07,14.763634,Q2264773,RV Falkor,-1,0.5,0.4583333333333333,0.6481481481481481,0.3333333333333333,0.0,0.0,|||,0.0|0.0|0.0|0.0,//0.0/|//0.0/|//0.0/|//0.0/,0.0,1.3873038539948711e-05,0,0.0,,0.0,,9.356395821669139e-06
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q15066166,Valerij Nikolaevič Fal\kov|Valery Falkov,"Falkov, V. |Valerij Nikolaevic Fal\kov|Valerij Fal\kov|V. Falkov",fuzzy-augmented,Russian jurist and politician,3.650219799798064e-09,18.520157,Q2264773,RV Falkor,-1,0.7722222222222223,0.8,0.7097578347578347,0.5384615384615384,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,3.224196562035133e-07,0,0.0,,0.0,,9.737072105053812e-06
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q15241194,Lee Falkon|Lee Sima Falkon,"Falkon, L. S. |Lee Falkon|L. Sima Falkon|Lee Sima Falkon|Lee S. Falkon|L. S. Falkon|L. Falkon|Falkon, L. ",fuzzy-augmented,Israeli footballer,2.8423258514033433e-09,18.942753,Q2264773,RV Falkor,-1,0.4675925925925925,0.4675925925925925,0.7555555555555555,0.6,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,2.5678803946821683e-07,0,0.0,,0.0,,2.2035734218661673e-05
0,0,RV Falkor,1981-01-01|Orenstein & Koppel|Cayman Islands|4.4,RV Falkor,Q15812163,Statutory pension insurance (Germany)|Rentenversicherung|L\assurance pension légale (Allemagne)|Gesetzliche Rentenversicherung (Deutschland),L\assurance pension legale (Allemagne)|RV,fuzzy-augmented,serves primarily as a pension insurance for employees in Germany,9.015292204191806e-09,14.589354,Q2264773,RV Falkor,-1,0.4907407407407407,0.75,0.4714714714714714,0.1666666666666666,0.0,0.0,|||P2262,0.0|0.0|0.0|0.5$$,//0.0/|//0.0/|//0.0/|P2262/0.5$$,0.3021,6.27297706927547e-07,0,0.0,,0.0,,9.385538760398049e-06
