0,1,2
Russia,Pres.,Vladimir Vladimirovich PUTIN
Russia,Premier,Dmitriy Anatolyevich MEDVEDEV
Russia,First Dep. Premier,Anton Germanovich SILUANOV
Russia,Dep. Premier,Maksim Alekseyevich AKIMOV
Russia,Dep. Premier,Yuriy Ivanovich BORISOV
Russia,Dep. Premier,Konstatin Anatolyevich CHUYCHENKO
Russia,Dep. Premier,Tatyana Alekseyevna GOLIKOVA
Russia,Dep. Premier,Olga Yuryevna GOLODETS
Russia,Dep. Premier,Aleksey Vasilyevich GORDEYEV
Russia,Dep. Premier,Dmitriy Nikolayevich KOZAK
Russia,Dep. Premier,Vitaliy Leyontyevich MUTKO
Russia,Dep. Premier,Yuriy Petrovich TRUTNEV
Russia,Min. of Agriculture,Dmitriy Nikolayevich PATRUSHEV
Russia,"Min. of Civil Defense, Emergencies, & Natural Disasters",Yevgeniy Nikolayevich ZINICHEV
Russia,"Min. of Construction, Housing, & Public Utilities",Vladimir Vladimirovich YAKUSHEV
Russia,Min. of Culture,Vladimir Rostislavovich MEDINSKIY
Russia,Min. of Defense,Sergey Kuzhugetovich SHOYGU
Russia,"Min. of Digital Development, Communications, & Mass Media",Konstantin Yuryevich NOSKOV
Russia,Min. of Economic Development,Maksim Stanislavovich ORESHKIN
Russia,Min. of Education,Olga Yuryevna VASILYEVA
Russia,Min. of Energy,Aleksandr Valentinovich NOVAK
Russia,Min. of Far East Development,Aleksandr Aleksandrovich KOZLOV
Russia,Min. of Finance,Anton Germanovich SILUANOV
Russia,Min. of Foreign Affairs,Sergey Viktorovich LAVROV
Russia,Min. of Health,Veronika Igoryevna SKVORTSOVA
Russia,Min. of Industry & Trade,Denis Valentinovich MANTUROV
Russia,Min. of Internal Affairs,Vladimir Aleksandrovich KOLOKOLTSEV
Russia,Min. of Justice,Aleksandr Vladimirovich KONOVALOV
Russia,Min. of Labor & Social Protection,Maksim Anatolyevich TOPILIN
Russia,Min. of Natural Resources & Ecology,Dmitriy Nikolayevich KOBYLKIN
Russia,Min. of North Caucasus Affairs,Sergey Viktorovich CHEBOTAREV
Russia,Min. of Science & Higher Education,Mikhail Mikhaylovich KOTYUKOV
Russia,Min. of Sport,Pavel Anatolyevich KOLOBKOV
Russia,Min. of Transportation,Yevgeniy Ivanovich DITRIKH
Russia,"Dir., Foreign Intelligence Service (SVR)",Sergey Yevgenyevich NARYSHKIN
Russia,"Dir., Federal Security Service (FSB)",Aleksandr Vasilyevich BORTNIKOV
Russia,"Sec., Security Council",Nikolay Platonovich PATRUSHEV
Russia,Procurator Gen.,Yuriy Yakovlevich CHAYKA
Russia,"Chmn., Central Bank of Russia",Elvira Sakhipzadovna NABIULLINA
Russia,Ambassador to the US,Anatoliy Ivanovich ANTONOV
Russia,"Permanent Representative to the UN, New York",Vasiliy Alekseyevich NEBENZYA
